id,Decomposition,Commenting,Instance Variables and Parameters and Constants,Naming and Spacing,Logic and Redundancy
16191,Perfect,Perfect,Perfect,Minor Issues,Perfect
16418,Minor Issues,Minor Issues,Perfect,Perfect,Perfect
16456,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
16615,Minor Issues,Perfect,Perfect,Minor Issues,Perfect
16642,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
16643,Minor Issues,Minor Issues,Perfect,Perfect,Perfect
16648,Perfect,Perfect,Minor Issues,Perfect,Perfect
16664,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
16673,Major Issues,Major Issues,Minor Issues,Perfect,Minor Issues
16680,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
16695,Perfect,Perfect,Minor Issues,Minor Issues,Minor Issues
16791,Perfect,Perfect,Minor Issues,Perfect,Perfect
16802,Minor Issues,Perfect,Perfect,Perfect,Perfect
16870,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
16930,Perfect,Minor Issues,Perfect,Perfect,Perfect
16940,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
16952,Perfect,Perfect,Perfect,Minor Issues,Perfect
16961,Major Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
16979,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
16980,Minor Issues,Perfect,Major Issues,Perfect,Horrible
16981,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
16982,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
16983,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
16984,Major Issues,Perfect,Perfect,Major Issues,Minor Issues
16993,Perfect,Perfect,Minor Issues,Perfect,Perfect
16994,Major Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
17002,Perfect,Perfect,Perfect,Minor Issues,Minor Issues
17003,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17004,Minor Issues,Major Issues,Major Issues,Minor Issues,Minor Issues
17005,Perfect,Perfect,Perfect,Minor Issues,Perfect
17006,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17008,Minor Issues,Minor Issues,Perfect,Perfect,Major Issues
17009,Minor Issues,Major Issues,Major Issues,Perfect,Perfect
17010,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
17011,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17012,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17013,Major Issues,Minor Issues,Major Issues,Major Issues,Minor Issues
17014,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
17015,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17017,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17018,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17019,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17020,Minor Issues,Perfect,Perfect,Minor Issues,Minor Issues
17021,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
17022,Perfect,Perfect,Perfect,Perfect,Major Issues
17024,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
17025,Minor Issues,Major Issues,Minor Issues,Major Issues,Minor Issues
17026,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17029,Perfect,Major Issues,Minor Issues,Minor Issues,Minor Issues
17030,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17031,Perfect,Perfect,Perfect,Perfect,Perfect
17032,Minor Issues,Minor Issues,Perfect,Perfect,Perfect
17033,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
17034,Minor Issues,Minor Issues,Major Issues,Minor Issues,Minor Issues
17035,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17036,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
17037,Minor Issues,Perfect,Perfect,Minor Issues,Perfect
17038,Minor Issues,Minor Issues,Perfect,Minor Issues,Perfect
17039,Perfect,Perfect,Perfect,Perfect,Minor Issues
17040,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17041,Perfect,Perfect,Perfect,Perfect,Perfect
17042,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17043,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17044,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17045,Minor Issues,Major Issues,Perfect,Minor Issues,Minor Issues
17046,Perfect,Minor Issues,Perfect,Perfect,Minor Issues
17047,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17048,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
17049,Minor Issues,Major Issues,Minor Issues,Minor Issues,Perfect
17050,Perfect,Perfect,Perfect,Perfect,Perfect
17051,Perfect,Minor Issues,Perfect,Minor Issues,Minor Issues
17052,Minor Issues,Perfect,Minor Issues,Minor Issues,Major Issues
17053,Perfect,Minor Issues,Perfect,Perfect,Minor Issues
17054,Perfect,Perfect,Perfect,Perfect,Minor Issues
17055,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
17056,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17057,Major Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
17058,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17059,Major Issues,Perfect,Minor Issues,Perfect,Perfect
17060,Major Issues,Major Issues,Minor Issues,Minor Issues,Major Issues
17061,Major Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17062,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17078,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17080,Horrible,Major Issues,Minor Issues,Minor Issues,Minor Issues
17081,Minor Issues,Perfect,Perfect,Perfect,Perfect
17082,Minor Issues,Major Issues,Perfect,Minor Issues,Minor Issues
17083,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
17084,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17085,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17086,Minor Issues,Perfect,Perfect,Minor Issues,Minor Issues
17087,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
17088,Perfect,Perfect,Perfect,Perfect,Perfect
17089,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
17091,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17092,Minor Issues,Major Issues,Major Issues,Perfect,Minor Issues
17094,Minor Issues,Minor Issues,Perfect,Minor Issues,Perfect
17095,Minor Issues,Minor Issues,Perfect,Minor Issues,Perfect
17096,Minor Issues,Perfect,Perfect,Minor Issues,Minor Issues
17097,Minor Issues,Perfect,Perfect,Perfect,Perfect
17098,Perfect,Minor Issues,Perfect,Minor Issues,Minor Issues
17099,Minor Issues,Perfect,Perfect,Minor Issues,Minor Issues
17100,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
17101,Minor Issues,Perfect,Perfect,Perfect,Perfect
17102,Minor Issues,Minor Issues,Perfect,Minor Issues,Major Issues
17103,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
17104,Perfect,Minor Issues,Perfect,Minor Issues,Perfect
17105,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17106,Perfect,Perfect,Perfect,Perfect,Minor Issues
17107,Perfect,Perfect,Horrible,Perfect,Perfect
17108,Perfect,Minor Issues,Perfect,Perfect,Minor Issues
17109,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17110,Major Issues,Minor Issues,Major Issues,Minor Issues,Major Issues
17111,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17112,Major Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17113,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17114,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
17115,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
17116,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17117,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
17118,Minor Issues,Perfect,Perfect,Minor Issues,Minor Issues
17119,Minor Issues,Major Issues,Minor Issues,Minor Issues,Minor Issues
17121,Perfect,Minor Issues,Perfect,Perfect,Minor Issues
17122,Perfect,Minor Issues,Perfect,Minor Issues,Perfect
17129,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17130,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
17131,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17132,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
17133,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17134,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
17135,Perfect,Minor Issues,Minor Issues,Perfect,Perfect
17137,Perfect,Major Issues,Minor Issues,Perfect,Minor Issues
17222,Perfect,Perfect,Perfect,Perfect,Perfect
17226,Perfect,Perfect,Perfect,Perfect,Perfect
17227,Perfect,Minor Issues,Minor Issues,Perfect,Minor Issues
17228,Minor Issues,Major Issues,Minor Issues,Perfect,Minor Issues
17229,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17230,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
17231,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
17234,Major Issues,Perfect,Minor Issues,Minor Issues,Perfect
17235,Major Issues,Major Issues,Major Issues,Minor Issues,Minor Issues
17269,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
17278,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17279,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17286,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17287,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17288,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
17289,Minor Issues,Perfect,Perfect,Minor Issues,Minor Issues
17302,Perfect,Minor Issues,Perfect,Perfect,Minor Issues
17303,Minor Issues,Major Issues,Minor Issues,Perfect,Minor Issues
17304,Perfect,Minor Issues,Perfect,Perfect,Perfect
17305,Major Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17306,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
17307,Minor Issues,Minor Issues,Perfect,Major Issues,Minor Issues
17308,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17309,Perfect,Perfect,Minor Issues,Minor Issues,Perfect
17310,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17311,Minor Issues,Perfect,Minor Issues,Minor Issues,Major Issues
17312,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17313,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
17314,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
17315,Perfect,Perfect,Perfect,Perfect,Minor Issues
17316,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
17317,Major Issues,Minor Issues,Perfect,Perfect,Minor Issues
17318,Perfect,Minor Issues,Perfect,Perfect,Minor Issues
17319,Perfect,Major Issues,Minor Issues,Minor Issues,Minor Issues
17320,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
17321,Major Issues,Perfect,Minor Issues,Perfect,Minor Issues
17322,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
17323,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
17324,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
17325,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
17326,Perfect,Major Issues,Minor Issues,Minor Issues,Minor Issues
17327,Perfect,Perfect,Major Issues,Perfect,Perfect
17352,Perfect,Minor Issues,Minor Issues,Perfect,Perfect
17524,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Major Issues
